Generated Query,First Document,Mean Content Precision,Mean Content Recall,Mean Content F1,First Exercise,Mean Exercise Precision,Mean Exercise Recall,Mean Exercise F1
"Here is an explaining exercise on Livestock farming in Tanzania:

Explain the importance of livestock-keeping in Tanzania, highlighting its contribution to the country's economy and food security.","### Focal studies  
#### Livestock-keeping in Tanzania  
Livestock production is one of the major agricultural activities in Tanzania. It contributes to the availability of food and raw materials. The sector also contributes to the country’s Gross Domestic Product (GDP). The National Ranching Company (NARCO) is responsible for managing all public ranches in the country. Most of the livestock products are for the domestic market. This sub-sector needs to be developed particularly in dairy farming and its products and meat processing to meet the domestic demands and for export. Overall, livestock-keeping helps to reduce household poverty and ensure food security.",tensor(0.4784),tensor(0.5833),tensor(0.5256),Suggest ways of solving challenges facing livestock-keeping in Tanzania.,tensor(0.7159),tensor(0.5663),tensor(0.6322)
"Here are some explanatory questions based on the context provided:

1. Describe the importance of solar and wind energy in USA, highlighting its environmental benefits.

2. What role does the American Government play in promoting the use of solar power in the country?

3. Explain why USA has shifted its focus from fossil fuel to solar and wind energy.

4. Identify and explain the factors that make California, Nevada, Arizona, North Carolina, New Jersey, and Massachusetts suitable for harnessing solar energy.

5. What","#### Importance of solar and wind energy in USA:  
USA finds it more economical to use solar and wind energy than other sources of energy as they have minimal environmental effects. Solar and wind energy in USA is important in so many ways.  
Environmentally-friendly: The production of solar and wind energy involves activities which produce less waste in the environment compared to other sources of energy. These energies, therefore, are considered to be environmentally-friendly. For example, their production reduces the emission of carbon-dioxide and other pollutants.  
Creation of employment opportunities: Installation and management of solar panels and wind mills require many employees. This industry generates jobs for thousands of people.",tensor(0.5461),tensor(0.5279),tensor(0.5367),State five challenges facing solar and wind energy production in USA.,tensor(0.6631),tensor(0.4620),tensor(0.5443)
What is the difference between power and energy?,"### The concept of Power and Energy  
Power: Power is the flow of energy at any one time, and can be generated from renewable energy resources through solar conversion (solar, thermal electricity, solar heating); harnessing water (hydropower for electricity, wave and tidal generation through turbines); harnessing the wind (wind pumps for water, wind turbines for electricity); and a variety of other energy sources. The main power sources are petroleum (oil), natural gas, water, coal and nuclear. Other sources include the earth’s interior (hot springs), wind, sun, tides, and waves, wood, peat and cattle or cow dung (biogas).",tensor(0.3305),tensor(0.4619),tensor(0.3851),"Write True or False for the following statement:  
The major source of power and energy in the USA is the Sun.",tensor(0.4376),tensor(0.5311),tensor(0.4795)
True or False: Cloves are used as a spice in food and in the production of oil used in medicine.,"#### Uses of cloves:  
Cloves can be used in the production of oil which is used in dentistry, sanitary applications and as medicine. They also serve as a spice in food. Moreover, cloves add flavor in tea and cigarettes. Cloves are a cash crop that is sold to earn foreign currency.  
Table 2.1 shows major cash crops grown in Tanzania.  
##### Table 2.1 Major cash crops grown in Tanzania  
| Crop           | Areas                                                       |
| -------------- | ----------------------------------------------------------- |
| Coffee         | Kagera, Kilimanjaro, Arusha, Mbeya, Ruvuma, Kigoma and Mara |
| Cotton         | Mwanza, Tabora, Mara, Tanga, Shinyanga, Geita and Simiyu    |
| Palm oil trees | Kigoma                                                      |
| Tea            | Mbeya, Iringa, Njombe, Tanga, Kilimanjaro and Kagera        |
| Sisal          | Tanga, Kilimanjaro, Arusha, Morogoro, Lindi and Mtwara      |",tensor(0.4034),tensor(0.5804),tensor(0.4717),"Write True or False for the following statement:  
Palm oil tree is a tropical plant that originated from South Africa.",tensor(0.4661),tensor(0.4843),tensor(0.4749)
"Define the term ""soil absorption"".","(b) Reclamation of land affected by soil erosion differs from land covered by water. Soil affected by erosion calls for planting of trees. Trees will act as binding agents for keeping the soil particles together and absorbing excess water which would otherwise flow rapidly over the land. Moreover, using better methods of agriculture such as contour ploughing, terracing, and strip farming especially in steep slopes helps to prevent erosion.  
(c) Land may also be reclaimed by restoring its fertility. In this case, land which has lost fertility may require planting cover crops and addition of organic manure and fertilisers to improve its fertility. The fertility will attract vegetation growth. Vegetation will not only bind the soil but also protect it from excessive loss of water through transpiration.  
(d) Land affected by excessive animal keeping can be restored by reducing the number of animals in the area. This simple reclamation method allows the land to be proportionally used.",tensor(0.3671),tensor(0.4883),tensor(0.4191),"Transpiration is...
(a) soil infiltration.
(b) water turning directly from ice to water vapour.
(c) evaporation from the leaves of trees.
(d) runoff from steep hills.",tensor(0.3936),tensor(0.5044),tensor(0.4421)
"What is the definition of extraction industries, and give two examples?","#### Oil and gas extraction industry:  
This industry is established to produce crude petroleum and natural gas; extract oil from sands and oil shale; produce natural gasoline and cycle condensate, and produce gas and hydrocarbon liquids from coal at the mine site. The petroleum and natural gas are used for various purposes including heating homes, fueling cars, powering factories, and serving as raw materials for plastics, chemicals, medicines, fertilizers, and synthetic fibers.",tensor(0.3447),tensor(0.4502),tensor(0.3904),"Define the following terms:
(a) Manufacturing industries
(b) Processing industries",tensor(0.4385),tensor(0.4823),tensor(0.4591)
"Here is a true or false question regarding the use of solar and wind energy in USA for your Form 2 geography class:

True or False: Wind energy is used less in USA compared to solar energy.","Solar energy is harnessed on a large- scale in the states of California, Nevada, Arizona, North Carolina, New Jersey and Massachusetts. These areas are more conducive for harnessing solar power because of the sunny climate, clear skies and plenty of land. The electricity generated is integrated into the US National Grid.  
Wind energy is also used more in USA compared to solar energy. The country has a big potential of onshore and offshore winds. Wind energy is used in running large farms and industries. The leading wind energy producing centers are California, Oklahoma, Illinois, and Kansas. Wind power generation and use in USA is expanding quickly. It experiences an annual growth of 25.6 percent. For example, in 2017, wind power generated 6.3 percent of electricity in the USA.",tensor(0.4913),tensor(0.5564),tensor(0.5217),"Write True or False for the following statement:  
The use of solar energy in Tanzania may help to address the problem of deforestation.",tensor(0.6324),tensor(0.5496),tensor(0.5859)
"Here is a true or false statement on natural springs for a Form 2 geography test:

True or False: All natural springs release hot water.","#### Springs  
Springs refer to natural overflows onto the land surface after the aquifer has been filled with infiltrating water, or when the water table meets the earth’s surface. The amount of water released from the spring depends on the nature of the rocks and the position of the water table. A large amount of water from a spring can form a river while small amounts may form small channels.",tensor(0.4078),tensor(0.4421),tensor(0.4241),"Write True or False for the following statement:  
Rocks that have pores through which water can infiltrate are called pervious rocks.",tensor(0.5845),tensor(0.5974),tensor(0.5906)
"Here is a true or false statement about growing conditions for sisal:

True or False: Sisal grows well in areas with low temperatures ranging between 10°C and 15°C.","#### Conditions for growing sisal:  
Sisal growing needs high temperatures ranging between 25°C and 30°C. It also needs slight rainfall ranging from 650 mm to 1,500 mm. It is grown in well-drained loamy soil. This type of soil contains a lot of decayed vegetable matter with little amounts of sand and clay. Rainfall plays an important role as far as fibre production is concerned. On the whole, sisal does not need too much rainfall and cannot tolerate frosty conditions.",tensor(0.4551),tensor(0.5316),tensor(0.4902),"Write True or False for the following statement:  
Palm oil tree is a tropical plant that originated from South Africa.",tensor(0.5135),tensor(0.4156),tensor(0.4576)
Define wind patterns and explain how they affect evapotranspiration.,"#### Wind:  
Wind affects evapotranspiration by keeping air in constant movement. This movement increases the rate of evapotranspiration as it clears any humidity around the plants, hence increasing the rate of transpiration.",tensor(0.4156),tensor(0.5285),tensor(0.4651),Explain why wind is a renewable energy source.,tensor(0.5559),tensor(0.5043),tensor(0.5286)
"Here is a true or false statement for your students:

True or False: In Tanzania, girls who have to travel long distances to fetch water are more likely to attend school regularly.","### Effects of distance to water sources on the girl-child in Tanzania  
Water fetching in most Tanzanian societies is a cultural and gender-related activity in terms of who is responsible for carrying it from the sources. The responsibility of fetching water and the overall water management in households is influenced by gender and cultural norms. The burden of fetching water is borne by both women and children, particularly girls. They travel over long distances to fetch water for domestic purposes.  
These distances coupled with other factors such as difficult terrain, poor water flow, and queues at the water sources take a lot of time from girls. Fetching water appears to have a direct effect on the physical health of the girls and their ability to participate in domestic responsibilities.",tensor(0.4555),tensor(0.5060),tensor(0.4793),How can water pollution be controlled among communities in Tanzania?,tensor(0.4946),tensor(0.3808),tensor(0.4303)
Define hydroelectric power and biogas energy in the context of Tanzania.,"### Hydro-electric power and biogas in Tanzania:  
Hydro-electric power, as discussed earlier, is produced by utilizing the power of fast-moving water such as a waterfall. HEP is one of the main sources of power in Tanzania. In Tanzania, electricity generation depends heavily on HEP. However, this type of energy cannot be relied upon in times of drought. The government through the Tanzania Electric Supply Company (TANESCO), a parastatal organization, manages the HEP across the country. The company produces hydro-electricity from natural waterfalls or man-made dams and supplies it to the users in the country.",tensor(0.4047),tensor(0.6017),tensor(0.4835),List and locate on a map major hydro-electric power stations in Tanzania.,tensor(0.6019),tensor(0.6326),tensor(0.6169)
"Explain how human activities, such as improper waste disposal, agricultural practices, and industrial processes, can contaminate water sources, leading to water-borne diseases.","This way of waste disposal contaminates shallow wells which may cause water-borne diseases such as cholera, diarrhoea and typhoid. Shallow wells are mostly the source of water for domestic use in many communities, especially those which have no formal water supply from authorised dealers.  
Transportation and storage of materials which may spill and leak is another source of underground water pollution. For example, chemicals used in manufacturing, processing and construction industries sometimes are not transported and stored by observing any specified handling precautions. This leads to spillage and leakage to the ground and, consequently, seepage into the soil which pollutes underground water through infiltration.",tensor(0.4668),tensor(0.5684),tensor(0.5124),What are the causes of water pollution?,tensor(0.5414),tensor(0.4709),tensor(0.5031)
"Here is a T-F statement:

Extensive food cultivation involves the cultivation of cash crops on estates. (True or False)","#### Types of large-scale crop cultivation:  
Large-scale crop cultivation can be divided into two types: plantation agriculture and extensive food cultivation. Plantation agriculture involves cultivation of cash crops on estates. The cultivation is highly mechanised. Major crops grown on plantations include coffee, cotton, tea, rubber, oil palms, cocoa, sisal, and sugar cane. Plantation agriculture is dominant in some regions of Africa, Asia, North and South America where there are favourable climatic conditions. Extensive food cultivation deals with large-scale food crop production. Machines are highly used in ploughing, sowing, harvesting, processing, packaging, and transportation of farm produce. Crops grown under extensive agriculture are cereals which include beans, maize, and wheat. A description of some of the crops under large-scale crop production is provided in the following sub-sections.",tensor(0.4524),tensor(0.5308),tensor(0.4882),Differentiate between plantation agriculture and extensive cereal cultivation.,tensor(0.5572),tensor(0.4596),tensor(0.5033)
Explain the factors that contribute to tourism development in Namibia.,"#### Factors for the development of tourism in Namibia:  
Numerous attractions including the climate with plenty of sunshine, abundant wildlife, rivers and desert landscapes have contributed to the development of the tourism industry in Namibia. Other tourist attractions are the diverse cultural attractions such as baskets, shells, jewels, embroidery, bead works and traditional dances.",tensor(0.4016),tensor(0.5857),tensor(0.4760),"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",tensor(0.6626),tensor(0.7075),tensor(0.6841)
Define the term 'transplanting' as it relates to oil palm farming.,"### Oil palm:  
Oil palm is a plant grown in tropical areas specifically for producing palm oil. It is grown on both small-scale on farm lots and large-scale on plantations. In Tanzania palm oil is grown in Kigoma and Mbeya regions. Other palm oil growing countries in the world are Malaysia, Nigeria, Indonesia and the Democratic Republic of the Congo.",tensor(0.3770),tensor(0.4539),tensor(0.4096),"Write True or False for the following statement:  
Palm oil tree is a tropical plant that originated from South Africa.",tensor(0.3470),tensor(0.4588),tensor(0.3862)
True or False: Alluvial or placer deposits are formed when molten materials containing minerals intrude and solidify into cracks and crevices.,"#### The occurrence of minerals:  
The occurrence of minerals falls into one of the four main types of modes of formation. These are veins and lodes, bed and seams, weathering products, and alluvial or place deposits. Veins and lodes are formed when molten materials containing minerals intrude and solidify into cracks and crevices. These are mainly associated with igneous and metamorphic intrusions. Examples of minerals formed in veins and lodes are tin, copper, silver, lead, manganese and zinc.  
Bed and seams constitute another type of mineral formation. Coal, iron ore, gypsum, potash, salts and common salts are formed as a direct result of deposition, accumulation and concentration in the horizontal strata of the earth’s crust. Gypsum, potash and salts, for example, are formed by the evaporation of lakes in desert areas and later are covered by other deposits so that they appear as seams.",tensor(0.4048),tensor(0.5222),tensor(0.4539),"Write True or False for the following statement:  
Gold and copper are examples of non-metallic minerals.",tensor(0.5256),tensor(0.5224),tensor(0.5238)
"True or False: The Tanzanian government has enough skilled labor to extract natural gas, thus eliminating the need for foreign experts.","#### Challenges of natural gas production in Tanzania:  
Natural gas production faces numerous challenges in different aspects. Natural gas is a non-renewable resource. Therefore, care has to be when extracting this resource. Natural gas production is new in Tanzania and, thus, it faces a shortage of skilled labour, especially in exploration and extraction activities. As a result, the government is often forced to employ foreign experts who are paid high salaries. Regarding the capacity to produce the natural gas, Tanzania has not been able to allocate enough funds for exploration, extraction, processing and distribution.",tensor(0.4575),tensor(0.5532),tensor(0.5005),Outline the challenges facing natural gas extraction in Tanzania.,tensor(0.5391),tensor(0.4281),tensor(0.4767)
"Here is a true or false statement for you:

Write True or False: Power is the capacity to do work.

(Note: Let me know if you need more questions or exercises!)","## Chapter Eight (Sustainable use of power and energy resources)  
### Introduction  
Power and energy are important for every aspect of human life. They may be generated from waves, winds, waterfalls, solar, natural gases, geothermo, oil and coal. In this chapter, you will learn about the major sources of power, the methods of acquiring and extracting power and energy, and the uses of power and energy resources. You will also learn about the problems facing power and energy production, specifically solar and wind power production in the USA, hydroelectric and biogas production in Tanzania. Finally, you will learn about problems related to power and energy extraction in the USA and Tanzania.",tensor(0.3814),tensor(0.4190),tensor(0.3993),"Write True or False for the following statement:  
The major source of power and energy in the USA is the Sun.",tensor(0.4754),tensor(0.4485),tensor(0.4610)
What is the main difference between processing and fabrication industries?,"## Chapter Seven (Manufacturing Industry)  
### Introduction  
In this chapter, you will learn about the concept of manufacturing industry, the importance of the manufacturing industry, types of manufacturing industries and the products of each type. You will also learn about factors necessary for locating an industry, and pollutants from manufacturing industries. Besides, you will learn about the production of cars in Japan, electronic devices in South Korea and textiles in Tanzania.",tensor(0.3863),tensor(0.4984),tensor(0.4345),Mention two types of manufacturing industries and give two examples for each type.,tensor(0.4581),tensor(0.5098),tensor(0.4825)
"What is the main difference between primary, secondary, and tertiary human activities?","### The concept of human activities  
Human activities are functions, tasks or works that human beings perform to earn a living. Different individuals or groups of people carry out different activities in different places. For example, the Maasai of Tanzania and Kenya practise nomadic pastoralism because of seasonal availability of pasture and water in an area. People in urban areas, on the other hand, engage in activities in industries and offices. Some people engage in providing services in education, administration, planning, and health.",tensor(0.4171),tensor(0.5151),tensor(0.4602),Mention human activities which are influenced by the weather of a particular area.,tensor(0.3902),tensor(0.4183),tensor(0.4029)
"Explain the importance of tourism in Tanzania, highlighting its economic, social, and environmental significance.","#### Factors for the development of tourism in Tanzania:  
Tanzania has a stable government, with peace and security which promote the tourism industry. In Tanzania, there are varieties of attractive sceneries including Mount Kilimanjaro, Ngorongoro Crater, Great Rift Valley and Amboni Caves. These landmarks contribute much to the development of tourism in the country. Others are Oldonyo Lengai and Mount Meru.",tensor(0.4068),tensor(0.5416),tensor(0.4645),"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",tensor(0.5740),tensor(0.5409),tensor(0.5564)
"True or False: In both Tanzania and Australia, livestock keeping is mainly for commercial purposes.","#### Similarities between livestock -keeping in Tanzania and Australia:  
Livestock- keeping in Tanzania and Australia has the following similarities:
Both countries keep similar types of livestock, for example, cattle and poultry. Also, both countries have set aside areas for ranching. In Australia, ranching is found at Victoria River, Alexandria Station and Anna Creek. These places are found in Queensland, South Australia, Western Australia and theNorthernTerritory. Examples of ranches in Tanzania are Kongwa, Ruvu, Kagera, Arusha, Morogoro, Kitulo and Lushoto.",tensor(0.4771),tensor(0.6297),tensor(0.5426),Outline main challenges facing livestock keeping in Tanzania.,tensor(0.5817),tensor(0.4788),tensor(0.5251)
"Define the term ""economic impact"" of agriculture in Tanzania, highlighting its significance in improving people's lives and contributing to the country's economy.","## Chapter Two (Agriculture)  
### Introduction  
In this chapter, you will learn about the meaning and types of agriculture, the effects of rapid population growth on small-scale agriculture, characteristics of small-scale agriculture, advantages and disadvantages of small-scale agriculture, and ways of improving small-scale agriculture. You will also learn about types of large-scale agriculture in the world, major crops grown in each type of large-scale agriculture, characteristics of large-scale agriculture and problems facing large-scale agriculture in Tanzania and the USA. Finally, you will learn about the various types of livestock keeping practices as well as their benefits and constraints by focusing on Tanzania and Australia.",tensor(0.4910),tensor(0.5600),tensor(0.5195),Outline the contribution of crop production to Tanzania’s economy.,tensor(0.6822),tensor(0.5482),tensor(0.6079)
"Explain the significance of assembly industries, such as car assembly industries, highlighting their importance in the economy and their role in the manufacturing industry.","## Chapter Seven (Manufacturing Industry)  
### Introduction  
In this chapter, you will learn about the concept of manufacturing industry, the importance of the manufacturing industry, types of manufacturing industries and the products of each type. You will also learn about factors necessary for locating an industry, and pollutants from manufacturing industries. Besides, you will learn about the production of cars in Japan, electronic devices in South Korea and textiles in Tanzania.",tensor(0.4768),tensor(0.5681),tensor(0.5167),Describe any four factors contributing to the development of manufacturing industries.,tensor(0.5304),tensor(0.5241),tensor(0.5269)
What is traditional pastoralism?,"Nomadic pastoralism involves continual movement of pastoralists with large numbers of animals from place to place in search of pasture and water. People involved in this practice are called nomads or pastoralists. Tribes which practise nomadic pastoralism include the Maasai, Barbaig, Kwavi, and Karamajong. Nomadic pastoralism is mostly practised in sparsely populated areas where the natural vegetation is mainly grass and bushes and, sometimes, scattered trees. In these areas, rainfall is very low and unreliable. The pastoralists follow specific routes in their movements. Figure 2.10 shows a large herd of cattle. The animals kept by pastoralists are a source of food and income through the selling of animals and their products. Major products from animals are meat and milk. The pastoralists spend the money they earn to meet family needs such as buying cereals, paying school fees, and meeting health expenses. In addition, the cattle raised are used for paying bride price and giving gifts",tensor(0.3224),tensor(0.5010),tensor(0.3918),Explain what nomadic pastoralism means.,tensor(0.5036),tensor(0.6153),tensor(0.5485)
"Here are five true or false statements about metal extraction sector for your students to work on:

1. True or False: Metal mining industry only covers the extraction of gold and silver.
2. True or False: Iron is primarily used in the production of jewelry.
3. True or False: Zinc is used to produce steel.
4. True or False: Lead is primarily used in the production of electrical wiring.
5. True or False: The metal mining industry only extracts precious metals.","#### Metal mining industry:  
The metal mining industry covers all industries established to engage in mining, developing mines, or exploring for metallic minerals (ores) primarily gold, silver, iron, lead, and zinc. The extracted minerals have a variety of industrial purposes: gold and silver are primarily used in jewelry and high-end electronics, iron is used to produce steel, copper is the main component of electrical wiring, lead is used in batteries, and zinc is used to coat iron and steel to reduce corrosion and as an alloy in the making of bronze and brass.",tensor(0.5179),tensor(0.5003),tensor(0.5085),"Write True or False for the following statement:  
Gold and copper are examples of non-metallic minerals.",tensor(0.5351),tensor(0.4195),tensor(0.4692)
"Describe the variety of plant life in different environments, highlighting adaptations that enable plants to survive in areas with limited water supply.","The leaves develop thorny leaves or a waxy surface to reduce loss of water through transpiration. Plants develop deep roots in the ground to reach water. Other plants develop storage organs. For example, a baobab tree stores water in its trunk. Some plants shed their leaves during periods of water scarcity. The relationship between vegetation and water supply may be influenced by human activities such as water drilling and deforestation. Water drilling may increase water supply in areas with water scarcity and, thus, influence the growth of the planted vegetation. On the other hand, deforestation exposes the area previously covered by the forest to evaporation and thus destroys the catchment areas. As a matter of fact, deforestation may turn an area into arid or semi-arid land.",tensor(0.4293),tensor(0.5579),tensor(0.4852),"With examples, mention problems facing forests resource harvesting.",tensor(0.4535),tensor(0.4509),tensor(0.4513)
"Describe the challenges faced by the East African transport sector, highlighting at least three examples.","### Challenges facing the transport industry in East Africa:  
The East African governments have made efforts to develop an adequate, safe, secure and affordable transport system that is aimed to eradicate poverty and bring about sustainable development. Despite these concerted efforts, the transport sector experiences several challenges and constraints as discussed in the subsequent sections.  
- Inappropriate national policies and their limited implementation: The transport industry suffers from inappropriate and badly-formulated policies which in turn slow down the implementation of sub-regional and regional agreements. In addition, these countries lack policies that allow and promote private sector participation in transport infrastructure development and operation.",tensor(0.4181),tensor(0.5481),tensor(0.4738),Mention any five challenges facing transport systems in East Africa.,tensor(0.7074),tensor(0.6464),tensor(0.6752)
Discuss the strategies that the Tanzanian government has put in place to address the challenges associated with natural gas production in the country.,"#### Tanzania’s efforts in addressing the challenges of natural gas production  
Tanzania has been trying to overcome the challenges associated with the production of its natural gas. The government has been emphasising the use of revenue from natural gas to benefit the people in the areas producing the gas and the nation as a whole. The revenue from natural gas is used to improve social services in education and health. There have been various public programmes aimed to educate the public on natural gas benefits. The ministries responsible for energy and mineral resources in Tanzania conduct awareness creation programmes through various ways such as meetings and the media. The government also provides opportunities for training to Tanzanians in oil and natural gas. These training opportunities aim to build the country’s capacity for exploration, extraction, processing and supplying of natural gas.",tensor(0.4659),tensor(0.5937),tensor(0.5219),Outline the challenges facing natural gas extraction in Tanzania.,tensor(0.7840),tensor(0.6035),tensor(0.6818)
"Define the term ""Automobile industry"" in the context of Japan's economy.","### Car manufacturing industries in Japan  
Japan is a chain of islands in the eastern part of Asia. It has an area of about 377,972 square kilometers. The population of Japan was about 126.8 million people in 2018 (Population, 2019). It is located between North Pacific and the Sea of Japan. It is one of the leading car producers in the world ahead of other producers such as Germany, United States of America, France, United Kingdom, South Korea, China, India, and South Africa. The major industrial centers in Japan are located in the coastal cities of Tokyo, Osaka, Kobe, and Yawata. Other cities include Nagoya, Kyushu, Shikoku, Honshu, and Hokkaido. Japan produces various types of vehicles such as Mitsubishi, Isuzu, Suzuki, and Toyota. Cars from Japan are more marketable because they are durable and of high quality. Spare parts are also easily available and affordable.",tensor(0.3950),tensor(0.5214),tensor(0.4492),Explain any five factors contributing to the development of industries in Japan.,tensor(0.5794),tensor(0.5628),tensor(0.5710)
What are the three main categories of water resources?,"### Fresh water and hydrological cycle  
The hydrological cycle is a continuous circulation of water from the earth’s surface to the atmosphere through the process of evaporation, evapotranspiration, condensation, precipitation and infiltration. Figure 3.1 illustrates the hydrological cycle.  
Figure 3.1 The hydrological cycle",tensor(0.3978),tensor(0.5317),tensor(0.4549),"Write True or False for the following statement:  
There is a relationship between rainfall and underground water.",tensor(0.5883),tensor(0.5801),tensor(0.5826)
What are two problems of transport and communication that limit tourist movement in Tanzania?,"#### Challenges facing tourism in Tanzania:  
The tourism industry in Tanzania is faced with problems of transport and communication, which are not that well-developed, hence limiting tourist movement. For example, some of the roads are rough and, therefore, it is impossible to use them during the rainy season. Internet services are also expensive and not reliable. The country also faces a problem of poor co-ordination between the government and other players in the industry. In addition, there is a shortage of funds for the development of the tourism industry. Moreover, Tanzania does not have adequate and sustainable marketing strategies to advertise and promote the unique attraction sites available in the country.",tensor(0.4136),tensor(0.5647),tensor(0.4770),Explain the challenges facing the tourism industry in Tanzania.,tensor(0.6289),tensor(0.5887),tensor(0.6077)
What is the main responsibility of the Namibia Tourism Board (NTB)?,"#### Namibia Tourism Board:  
The Namibia Tourism Board (NTB) is charged with the responsibility of regulating and marketing tourism activities. This board is also responsible for training people engaged in the tourism industry. For example, the NTB has established offices abroad to market and promote tourism in Namibia. These offices are in different parts of the world such as Johannesburg, Cape Town, Germany, New York, England and Spain. As a result, this aggressive promotion increases the number of tourists in the country.",tensor(0.4111),tensor(0.5238),tensor(0.4591),"Explain how tourism is important in Tanzania, Namibia, and Switzerland.",tensor(0.4963),tensor(0.4716),tensor(0.4836)
What are some of the gases emitted by industrial activities that pollute the environment?,"#### Industrial pollution:  
The manufacturing process turns raw materials into useful goods. But some of the by-products of manufacturing waste materials left over or substances produced by the manufacturing process itself, may be harmful to the environment. Manufacturing contributes to air and water pollution for example the Wazo Hill Cement industry in Dar es Salaam.",tensor(0.4427),tensor(0.5729),tensor(0.4979),"Explain the following terms:
(a) Fabrication industries
(b) Processing industries
(c) Manufacturing industries
(d) Industrial pollution",tensor(0.4793),tensor(0.4538),tensor(0.4620)
"Describe the various sources of water, highlighting their significance in the economic development of Tanzania.","### Sources of water  
There are several sources of water. These include rainfall, wells, springs, ponds, rivers, lakes, seas and oceans. There are various ways used to manage water resources. These are policies, laws, regulations, and awareness raising campaigns.",tensor(0.4356),tensor(0.5437),tensor(0.4833),"Write True or False for the following statement:  
There is a relationship between rainfall and underground water.",tensor(0.4816),tensor(0.4414),tensor(0.4597)
"Here is a True or False statement on transhumance practices for your Form 2 class:

True or False: Transhumance involves the seasonal movement of livestock from highlands in winter to lowlands in summer.","#### Transhumance:  
Transhumance is a seasonal movement of livestock from one grazing ground to another, specifically to lowlands in winter and highlands in summer. It is a form of semi-nomadic pastoralism in which domestic animals play a predominant but not an exclusive role in shaping the economic and cultural life of the people who depend on them.  
Under transhumance, pastoralism is a predominant economic activity with varying emphasis on agriculture as a supplementary activity. Countries that practise transhumance include Switzerland, Morocco, Kosovo and the Sudan-Sahelian zone of Mali.  
##### Advantages of transhumance:",tensor(0.4517),tensor(0.5190),tensor(0.4828),"Three categories of commercial livestock-keeping are:
(a) Pastoralism, sedentary and nomadism.
(b) Traditional, modern and pure livestock-keeping.
(c) Beef livestock-keeping, dairy livestock-keeping and sheep-keeping.
(d) Traditional livestock, cattle-keeping and diary livestock-keeping.",tensor(0.4161),tensor(0.4103),tensor(0.4131)
"Here is a true or false statement for your Form 2 students:

True or False: Open-pit mining is a type of underground mining.","### Methods of mining  
Methods of mining depend on the location of the mineral in the earth’s crust. There are four methods of mining which are surface, underground, alluvial, and in-situ mining.",tensor(0.4054),tensor(0.4727),tensor(0.4354),Briefly describe three methods of mining.,tensor(0.5324),tensor(0.3918),tensor(0.4510)
"The statement ""Government policies have hindered the growth of electronic industries in South Korea"" is WRONG.","#### Factors contributing to the development of electronic manufacturing industries in South Korea  
The following are factors that contribute to the development of electronic manufacturing industries in South Korea:  
- Capital: South Korea has capital which is available through bank loans and government assistance. This capital has enabled the growth and diversification of industries. Also, the capital has facilitated the development of infrastructure and factories in addition to funding scientific research for the development of such industries.
- Policies: South Korea’s government has supportive policies that promote the development of electronic industries by providing financial support through loans and research. The policies are also supportive in attracting foreign investors from Japan and the USA to invest in electronic manufacturing industries through friendly policies.",tensor(0.4705),tensor(0.5462),tensor(0.5009),Mention any five factors contributing to the development of electronic equipment industries in South Korea.,tensor(0.6875),tensor(0.5615),tensor(0.6169)
"Here's a true or false statement about traditional fallowing techniques for your students:

True or False: In bush fallowing, farmers move to a fresh area when the yields are low, leaving the land to regain its fertility.","Small-scale crop cultivation is done by using different methods such as shifting cultivation, crop rotation, and bush fallowing.",tensor(0.4848),tensor(0.4981),tensor(0.4898),"Traditional livestock farming is practised in areas where there is:
(a) Very low rainfall
(b) Heavy rainfall
(c) No rainfall
(d) Dry lands",tensor(0.4462),tensor(0.3696),tensor(0.4028)
Explain how agriculture contributes to the economy of the United States of America.,"Agriculture, which is highly mechanised, operates on a large-scale and makes a significant contribution to the USA economy through provision of employment opportunities to about 11% of the Americans. Through agriculture the country also earns foreign currency, which helps to increase the National Domestic Product (NDP) through the export of beverages and other processed foods. Improvement of standards of living of the people who live near plantations such as the Cotton and Corn belts is another contribution of large-scale agriculture in the USA. Furthermore, the country has benefited significantly from development and growth of beef and dairy farming industries, which employ the largest percentage, followed by bakery, fruit and vegetable plants. The agricultural sector also plays a role in stimulating the development and growth of towns and cities such as Chicago and St. Louis.",tensor(0.4084),tensor(0.5635),tensor(0.4719),Mention five major challenges facing large-scale agriculture in the USA.,tensor(0.5827),tensor(0.5671),tensor(0.5739)
"Here is a true or false statement about how mining can reduce its environmental impacts:

True or False: Implementing proper waste management and land rehabilitation can reduce the environmental impacts of mining.","- Effects of the mining industry on the environment: Mining and processing activities have negative effects on the environment if not done carefully. The sections below describe some of the effects of mining on the environment.
- Pollution: Mining activities can lead to water, air, and noise pollution. To begin with, mining produces waste materials which pollute water bodies. For example, chemicals used in processing minerals such as mercury and sodium cyanide can pollute rivers, lakes, and underground water. This may cause the loss of life of living organisms, which depend on water. Large amounts of dust released into the air affect people, plants, and animals found in nearby areas. Also, the blasting process causes noise and vibration which affect people and their properties in nearby areas.",tensor(0.4714),tensor(0.5449),tensor(0.5053),Explain how the effects of mining on the environment can be minimized.,tensor(0.6426),tensor(0.4971),tensor(0.5605)
